Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Eckerd Workforce Development - Grover Beach,1540 West Grand Ave,,Grover Beach,CA,93433,805-835-9311,,,https://eckerd.org/workforce-development/programs/eckerd-org-slo/
PathPoint,775 W Grand Ave.,# C,Grover Beach,CA,93433,805-473-9582,info@pathpoint.org,,https://www.pathpoint.org/
Eckerd Workforce Development - Paso Robles,619 Creston Road,,Paso Robles,CA,93446,805-703-3390,,888-279-5655,https://eckerd.org/workforce-development/programs/eckerd-org-slo/
PathPoint,2450 Professional Parkway,,Santa Maria,CA,93455,805-934-3537,info@pathpoint.org,,
Antelope Valley Partners for Health,45104 10th Street West,,Lancaster,CA,93534,661-942-4719,,,http://www.avph.org/campaign/united-we-mentor/
Tehachapi Unified School District,400 South Snyder Drive,,Tehachapi,CA,93561,661-822-2100,,,https://www.teh.k12.ca.us/
F.I.E.L.D. (Farmworker InstituteFor Education and Leadership),410 West J Street,Suite A,Tehachapi,CA,93561,661-822-4381,,,https://www.farmworkerinstitute.org/
City of Clovis,934 4th Street,,Clovis,CA,93621,559-324-2091,,,https://cityofclovis.com/
Kings View Project Success,701 East 5th Street,,Madera,CA,93638,559-675-0105,,,http://www.kingsview.org/service-lines/youth-services/success
"Proteus, Inc",1680 East Manning Avenue,,Reedley,CA,93654,559-637-2444,,,http://www.proteusinc.org/
Fresno County Economic Opportunities Commission,1805 E. California,,Fresno,CA,93706,559-264-1048,,,http://www.fresnoeoc.org/lcc/youthbuild
Arbor Employment and Training,"1900 Mariposa Mall,",Suite 350,Fresno,CA,93706,559-499-3760,,,https://www.workforce-connection.com/youth-services/
Fresno County Economic Opportunity Commission,1920 Mariposa Mall,Suite 303,Fresno,CA,93721,559-263-1110,,,http://www.fresnoeoc.org/
Turning Point of the Central Coast - Silver Star Program,115 East San Luis Street,,Salinas,CA,93901,831-256-7110,,831-424-2166,http://www.tpocc.org/programs/employment/silver-star-youth-employment-program/
Unity Care Group Inc.,684 Harrison Road,,Salinas,CA,93907,831-443-5225,,,https://www.unitycare.org/
Monterey Peninsula Unified School District,700 Pacific Street,,Monterey,CA,93942,831-649-4175,,,https://www.mpusd.net/
Soledad Unified School District,1261 Metz Road,,Soledad,CA,93960,831-678-2866,,,http://soledadusd.org/
Jefferson Union High School District-Tools for Success,699 Serramonte Blvd,,Daly City,CA,94015,650-550-7892,,,https://www.juhsd.net/
Jefferson Union High School District-Pathways to Success,699 Serramonte Blvd,,Daly City,CA,94015,650-991-2240,,,https://www.juhsd.net/
Job Train,1200 O'Brien Drive,,Menlo Park,CA,94025,650-462-6320,,,https://www.jobtrainworks.org/
youth@work,505 W. Olive Ave,Suite 630,Sunnyvale,CA,94086,408-730-7640,youth@novaworks.org,,http://www.youthatwork.org/
All Stars Project Bay Area,870 Market Street,Suite 823,San Francisco,CA,94102,415-986-2565,ejoseph@allstars.org,,https://allstars.org/locations/sfbayarea/
Bridges From School to Work - San Francisco,One Hallidie Plaza,Suite 407,San Francisco,CA,94102,415-227-4330,anthea.charles@marriott.com,,http://www.bridgestowork.org/locations/san-francisco/
"Goodwill Industries of San Francisco, San Mateo, and Marin Counties",1500 Mission Street,,San Francisco,CA,94103,415-575-4550,,,https://sfgoodwill.org/
Jewish Vocational Service,225 Bush Street,Suite 400,San Francisco,CA,94104,415-782-6279,,,https://www.jvs.org/
Genesys Works Bay Area,101 2nd Street,Suite 500,San Francisco,CA,94105,415-442-0280,gwba@ba.genesysworks.org,,https://genesysworks.org/about-us/mission-vision/
Juma YouthConnect,131 Steuart Street,Suite 201,San Francisco,CA,94105,415-371-0727,noahh@juma.org,,http://www.juma.org/san-francisco/
Community Youth Center San Francisco,1038 Post Street,,San Francisco,CA,94109,415-775-2636,,,https://www.cycsf.org/
Larkin Street Youth Services,1154 Sutter Street,,San Francisco,CA,94109,415-673-0911 ext.211,,,https://larkinstreetyouth.org/
Bay Area Video Coalition,2727 Mariposa Street,2nd Floor,San Francisco,CA,94110,415-558-2116,,,https://www.bavc.org/
Young Community Developers,1715 Yosemite Avenue,,San Francisco,CA,94124,415-822-3492,,,http://www.ycdjobs.org/what-we-do-2/
Hunters Point Family,1800 Oakdale Avenue,,San Francisco,CA,94124,415-822-8895,,,https://www.hunterspointfamily.org/youth-development-1
Quick Learning School of Concord,1465 Enea Circle,Suite 940,Concord,CA,94520,925-676-1526,,,https://www.quicklearningschool.com/
Contra Costa County Office of Education - Youth Development Services,2425 Bisso Lane,Suite 100,Concord,CA,94520,925-942-3300,,,
Contra Costa County Office of Education,77 Santa Barbara Road,,Pleasant Hill,CA,94523,925-942-3308,,,https://www.cccoe.k12.ca.us/
A.K. Bean Foundation,623 Great Jones Street,,Fairfield,CA,94533,707-429-8888,,,http://www.akbean.org/
Solano Community College Academic Tutoring and Leadership Connections at SCC,4000 Suisun Valley Road,,Fairfield,CA,94534,707-864-7126,,,http://www.solano.edu/index.php
Hayward Adult School,22100 Princeton Street,,Hayward,CA,94541,510-293-8595,,,https://www.has.edu/pf4/cms2_site/view_deployment?d=x&theme_id=i1i3g1zuwqp1d6&group_id=1500178974938
Chabot Community College,25555 Hesperian Blvd,,Hayward,CA,94545,510-723-2664,,,http://www.chabotcollege.edu/specialprograms/umoja/
Las Positas Community College - CalWORKS,25555 Hesperian Boulevard,,Hayward,CA,94545,925-424-1459,,,http://www.laspositascollege.edu/calworks/index.php
East Bay Youth and Family Initialtives,1401 Almond Avenue,Classroom 20 & 21,Livermore,CA,94550,925-961-8045,,,https://cityservetrivalley.org/category/resources/resources-employment/
COPE,1340 Fourth Street,,Napa,CA,94558,707-252-1123,,,https://www.copefamilycenter.org/
Napa Valley Adult School,1600 Lincoln Avenue,,Napa,CA,94558,707-253-3594,,,https://nvae-nvusd-ca.schoolloop.com/
College & Career Readiness,2121 Imola Avenue,,Napa,CA,94558,707-253-6810,,,https://www.napaccr.org/about
Next Step Employment and Training Services,2344 Old Sonoma Road,,Napa,CA,94558,707-259-8236,,,
NVUSD Specialized Services,2425 Jefferson Street,,Napa,CA,94558,707-253-3848,,,https://www.nvusd.k12.ca.us/svs
Migrant Education,2425 Jefferson Street,,Napa,CA,94558,707-253-3537,,,https://www.cde.ca.gov/sp/me/mt/overview.asp
Catholic Charities Foster Care,3295 Claremont Way,,Napa,CA,94558,707-224-4403,,,
VOICES,780 Lincoln Street,,Napa,CA,94558,707-251-9432,,,https://www.voicesyouthcenter.org/what-we-do
Napa Valley College,Napa Vallejo Highway,,Napa,CA,94558,707-253-3222,,,http://www.napavalley.edu/Pages/default.aspx
Community Action Napa Valley,1001 Franklin Street,,Napa,CA,94559,707-253-6100,,,http://canv.org/
Crestwood Dreamcatchers Inc.,1320 Second Street,,Napa,CA,94559,707-226-6245,,,https://www.dreamcatchersnetwork.org/our-programs/
Napa Police Diversion Program,1539 First Street,,Napa,CA,94559,707-257-9267,,,https://www.cityofnapa.org/323/Police-Department/youth-diversion-program.html
Napa County Health and Human Services,650 Imperial Way,Suite 101,Napa,CA,94559,707-253-4697,,,https://www.countyofnapa.org/156/HHSA
Solano School of Nursing,1330 Springs Road,,Vallejo,CA,94590,707-557-7173,,,http://vallejonursinginstitute.com/
Spanish Speaking Citizens' Foundation,1470 Fruitvale Avenue,,Oakland,CA,94601,510-879-8223,,,http://www.sscf.org/index.php/en/youth-services
Youth Employment Partnership,2300 International Blvd.,,Oakland,CA,94601,510-533-3447,,,http://www.yep.org/what-we-do/young-adult/
Independent Living Skills Program,675 Hegenberger Road,Suite 100,Oakland,CA,94605,510-667-7696,,510-667-7679,https://www.alamedacountyilp.org/
Youth Uprising,8711 MacArthur Blvd,,Oakland,CA,94605,510-777-9909,info@youthuprising.org,510-777-9949,https://www.youthuprising.org/programs/career-education/
Lao Family Community Development,1551 23rd Avenue,,Oakland,CA,94606,510-533-8850,,,https://lfcd.org/
Scotlan Youth and Family Center,1651 Adeline Street,,Oakland,CA,94607,510-832-4544,,,https://oaklandyouthfirst.wixsite.com/yfdc
Bridges From School to Work - Oakland,1970 Broadway,Suite 1000,Oakland,CA,94612,510-834-4700,anthea.charles@marriott.com,,http://www.bridgestowork.org/locations/oakland/
Berkeley Youth Alternatives,1255 Allston Way,,Berkeley,CA,94702,510-845-9010,,,https://www.byaonline.org/
"Youth Work Programs, Richmond Local Workforce Investment Area",330 25th Street,,Richmond,CA,94804,510-307-8018,,,http://www.ci.richmond.ca.us/662/YouthWORKS
Conservation Corps North Bay,27 Larkspur Street,,San Rafael,CA,94901,415-454-4554,,,https://www.ccnorthbay.org/
Petaluma People Services Center,1500 Petaluma Blvd. South,Suite A,Petaluma,CA,94952,707-765-8488,,,http://petalumapeople.org/
Marin YWCA,1000 Sir Francis Drake Blvd.,,San Anselmo,CA,94960,415-456-0782,,,https://www.ywcasf-marin.org/
Santa Clara Regional Occupational Program,700 West 6th Street,,Gilroy,CA,95020,408-842-0361,,,https://www.dds.ca.gov/DSPT/
Bill Wilson Center,3490 The Alameda,,Santa Clara,CA,95050,408-850-6131,,,https://www.billwilsoncenter.org/
Santa Cruz County Office of Education,400 Encinal,,Santa Cruz,CA,95060,831-466-5703,,,https://www.santacruzcoe.org/
San Jose Conservation Corps,2650 Senter Road,,San Jose,CA,95111,408-515-4254,,,https://www.sjcccs.org/
npower - California,405 S 10th Street,,San Jose,CA,95112,408-495-5720,Jeanine.Cowan@npower.org,,https://www.npower.org/locations/
Juma YouthConnect,75 E Santa Clara Street,6th Floor c/o WeWork,San Jose,CA,95113,650-304-9424,iriss@juma.org,,https://www.juma.org/san-jose/
work2future Youth Training Center,2072 Lucretia Avenue,,San Jose,CA,95122,408-794-1108,,,http://www.work2futurefoundation.org/
Center for Training and Careers,749 Story Road,Suite 10,San Jose,CA,95122,408-213-0961,,,https://www.smc-connect.org/locations/center-for-training-and-careers
Workforce Institute,600 South Bascom Avenue,Suite T-101,San Jose,CA,95128,408-918-5106,,,http://www.wi-sjeccd.org/
California Human Development Corporation,2607-A Wigwam Drive,,Stockton,CA,95205,209-466-3053,,,https://californiahumandevelopment.org/
San Joaquin County Office of Education,2901 Arch-Airport Road,,Stockton,CA,95206,209-468-5911,,,https://www.sjcoe.org/buildingfutures/youthbuild.aspx
San Joaquin County Office of Education,2707 Transworld Drive,,Stockton,CA,95213,209-468-9033,,,https://www.sjcoe.org/
Job Connection - Calaveras,700 Mountain Ranch Road,Suite A,San Andreas,CA,95249,209-754-4242,,,https://www.mljt.org/
Ceres Unified School District,2491 Lawrence Street,,Ceres,CA,95307,209-556-1558,,,http://www.ceres.k12.ca.us/
Discovery ChalleNGe Academy,700 East Roth Road,,Lathrop,CA,95330,209-468-4800,admissions@discoverychallengeacademy.com,,https://iamdiscovery.org/
Job Connection - Mariposa,5362 Lemee Lane,P.O. Box 1915,Mariposa,CA,95338,209-966-3643,,,https://www.mljt.org/
Merced County Office of Ed/ROP,632 West 13th Street,,Merced,CA,95340,209-381-6680,,,https://www.mcoe.org/Pages/home.aspx
Stanislaus Literacy Center,1032 11th Street,,Modesto,CA,95354,209-548-9266,,,https://lqslc.com/
Eckerd Workforce Development - Stanislaus County,400 12th Street,Suite 7,Modesto,CA,95354,209-353-7709,,,https://eckerd.org/workforce-development/programs/eckerd-org-slo/
Alliance Worknet,629 12th Street,,Modesto,CA,95354,209-558-9688,,,http://www.stanworkforce.com/
Computer Tutor Business and Technical Institute,4306 Sisk Road,,Modesto,CA,95356,209-545-5200,,,https://www.computertutorbti.edu/
Central Valley Opportunity Center - Older Youth,1581 Cummins Way,Suite 100,Modesto,CA,95358,209-577-3210,,,https://www.cvoc.org/programs
Mother Lode Job Training,19890 Cedar Road North,,Sonora,CA,95370,209-533-3396,,,http://mljt.org/
Job Connection - Tuolumne,19890 Cedar Road North,,Sonora,CA,95370,209-588-1150,,,https://www.mljt.org/
Social Advocates for Youth,3440 Airway Drive,Suite E,Santa Rosa,CA,95403,707-544-3299,,,https://www.saysc.org/
West County Community Services,477 Petaluma Avenue,,Sebastopol,CA,95472,707-823-1640,,,https://www.westcountyservices.org/
"Mendocino Private Industry Council, Inc",630 Kings Court,Suite 204,Ukiah,CA,95482,707-468-1196,,,https://www.mpic.org/
The Center for Social and Environmental Stewardship,9619 Old Redwood Highway.,,Windsor,CA,95492,707-838-6641,,,https://www.cfses.org/
Eureka City Schools,1915 J Street,,Eureka,CA,95501,707-441-2448,,,https://www.eurekacityschools.org/
Northern Humboldt Union High School District,2755 McKinleyville Avenue,,McKinleyville,CA,95519,707-839-6460,,,https://www.nohum.org/
Del Norte Workforce Center,286 M Street,Suite B,Crescent City,CA,95531,707-464-7441,,,http://www.dnworkforcecenter.org/
Fortuna Union High School,843 L Street,,Fortuna,CA,95540,707-725-9082,,,https://www.fuhsdistrict.org/
Southern Humboldt Unified School District,P.O. Box 129,,Garberville,CA,95542,707-943-1707,,,http://apps.humboldt.k12.ca.us/sohumwp/
Klamath-Trinity Joint Unified School District,P.O. Box 1308,,Hoopa,CA,95546,530-625-4255,,,http://www.ktjusd.k12.ca.us/
Yolo County Department of Employment and Social Services,500-A Jefferson Blvd,,West Sacramento,CA,95605,916-375-6200,,,https://www.yolocounty.org/health-human-services/children-youth/independent-living-skills-program
"Rural Innovation in Social Economics, Inc. (RISE)",17313 Fremont Street,,Esparto,CA,95627,530-787-3433,,,https://www.riseinc.org/youth-employment-services
Job Connection - Amador,245 New York Ranch Road,Suite A,Jackson,CA,95642,209-223-3341,,,https://www.mljt.org/
North State Building Industry Association,1536 Eureka Road,,Roseville,CA,95661,916-677-5717,,,http://www.northstatebia.org/
Soil Born Farms,2140 Chase Drive,,Rancho Cordova,CA,95670,916-363-9685,,,https://soilborn.org/
El Dorado Department of Human Services,3057 Briw Road,,Placerville,CA,95677,530-642-4850,,,https://www.edcgov.us/HumanServices/
Yolo County Department of Employment and Social Services,25 North Cottonwood Street,,Woodland,CA,95695,530-661-2750,,,https://www.yolocounty.org/health-human-services/children-youth/independent-living-skills-program
Juma YouthConnect,815 S Street,Suite 618,Sacramento,CA,95811,,allief@juma.org,,https://www.juma.org/
Sacramento Chinese Community Service Center,915 T Street,,Sacramento,CA,95814,916-442-2523,,,https://sccsc.org/
"La Familia Counseling Center, Inc.",5523 34th Street,,Sacramento,CA,95820,916-452-3601,,,https://lafcc.org/
"City of Sacramento, Parks and Recreation",5699 South Land Park Drive,,Sacramento,CA,95822,916-433-4066,,,http://www.cityofsacramento.org/ParksandRec
Sacramento Regional Conservation Corps,6101 27th Street,,Sacramento,CA,95822,916-386-8394,,,https://www.saccorps.org/
Sacramento City Unified School District,5451 Lemon Hill Avenue,,Sacramento,CA,95824,916-433-2620,,,https://www.scusd.edu/
"Asian Resources, Inc",5709 Stockton Blvd,,Sacramento,CA,95824,916-454-1892,,,https://asianresources.org/
"Crossroads Diversified Services, Inc",9300 Tech Center,Suite 100,Sacramento,CA,95826,916-242-4105,,,https://www.cdsdiv.com/
Elk Grove Unified School District,8401 B Gerber Road,,Elk Grove,CA,95828,916-686-7717,,,http://www.egusd.net/
California Indian Manpower Consortium,738 North Market Blvd,,Sacramento,CA,95834,916-920-0285,,,http://www.cimcinc.org/
Greater Sacramento Urban League,3725 Marysville Blvd,,Sacramento,CA,95838,916-286-8600,,,http://www.gsul.org/
"Yuba County Office of Education, Regional Career Center",1114 Yuba Street,,Marysville,CA,95901,530-741-6213,,,http://www.northcentralcounties.com/youthresources.html
Chico Unified School District,1163 East Seventh Street,,Chico,CA,95928,530-891-3000,,,http://www.chicousd.org/
Chico One-Stop,2445 Carmichael,,Chico,CA,95928,530-895-4364,,,http://www.butteonestop.org/job_seeker.htm#Youth_Employment
Upward Bound Project - CSU Chico,CSU,,Chico,CA,95929,530-898-5181,,,https://www.csuchico.edu/upwardbound/
Colusa County Partnership,146 Market Street,,Colusa,CA,95932,530-458-0326,,,http://www.colusa1stop.org/
Grass Valley One-Stop Business & Career Center,715 Maltman Drive,,Grass Valley,CA,95945,530-265-7088,,,https://afwd.org/index.php/nevada-county
Oroville One-Stop,78 Table Mountain,,Oroville,CA,95965,530-538-7301,,,http://www.butteonestop.org/job_seeker.htm#Youth_Employment
Work Connection,270 County Hospital Rd,Suite 107,Quincy,CA,95971,530-283-1606,,,
Glenn County Human Resource Agency,420 East Laurel Street,,Willows,CA,95988,530-934-6514,,,https://www.countyofglenn.net/dept/health-human-services/welcome
Sutter County One Stop,950 Tharp Road,Suite 1000,Yuba City,CA,95993,530-822-5120,,,http://www.sutteronestop.com/
Smart Business Resource Center,1201 Placer Street,,Redding,CA,96001,530-246-7911,,,https://thesmartcenter.biz/
Job Training Center of Tehama County,718 Main Street,,Red Bluff,CA,96080,530-529-7000,,,http://www.jobtrainingcenter.org/job-seekers/teens-and-young-adults/
Smart Business Resource Center,790 Main Street,Suite 618,Weaverville,CA,96093,530-623-5538,,,https://thesmartcenter.biz/
"The Siskiyou Training and Employment Program, Inc.",310 Boles Street,,Weed,CA,96094,530-938-3231,,,http://stepoffice.org/en/
Modoc Employment Center,221 North Main Street,,Alturas,CA,96101,530-233-4161,,,http://www.co.modoc.ca.us/public-resources/Employment
Alpine County One Stop Business and Career Center,75-A Diamond Valley Road,,Markleeville,CA,96120,530-694-2235,,,https://www.alpinecountyca.gov/index.aspx?NID=276
Sierra County Business and Career Network,305 South Lincoln Street,,Sierraville,CA,96126,530-994-3349,,,https://afwd.org/index.php/sierra-county
Lassen Career Network,1616 Chestnut Street,,Susanville,CA,96130,530-257-5057,,,https://afwd.org/index.php/lassen-county
Truckee One-Stop Business & Career Center,10075 Levon Avenue,Suite105,Truckee,CA,96161,530-550-3015,,,https://afwd.org/index.php/nevada-county
Youth Challenge Academy - Oahu Campus,91-1001 Shangrila St,PO Box 75348,Kapolei,HI,96707,808-673-7530,,,http://dod.hawaii.gov/yca/
